game_id,team_id_home,team_city_home,pts_paint_home,times_tied,total_turnovers_home,team_id_away,team_city_away,pts_paint_away,total_turnovers_away
21600775,1610612750,Minnesota,48,1,11,1610612748,Miami,48,17
21600774,1610612740,New Orleans,50,16,13,1610612756,Phoenix,52,16
21600779,1610612766,Charlotte,54,2,7,1610612751,Brooklyn,50,18
21600780,1610612745,Houston,52,5,11,1610612753,Orlando,42,16
21600792,1610612741,Chicago,46,2,15,1610612744,Golden State,50,13
21600791,1610612752,New York,44,20,12,1610612746,LA,56,11
21600783,1610612754,Indiana,28,4,12,1610612739,Cleveland,30,10
21600787,1610612749,Milwaukee,44,0,13,1610612748,Miami,54,16
21600782,1610612759,San Antonio,36,0,15,1610612755,Philadelphia,38,7
21600790,1610612761,Toronto,48,6,13,1610612750,Minnesota,40,8
21600789,1610612740,New Orleans,46,1,13,1610612762,Utah,58,8
21600788,1610612763,Memphis,30,0,22,1610612756,Phoenix,34,16
21600785,1610612743,Denver,44,0,10,1610612737,Atlanta,50,11
21600797,1610612762,Utah,34,4,21,1610612742,Dallas,58,12
21600794,1610612766,Charlotte,40,7,22,1610612745,Houston,48,17
21600796,1610612739,Cleveland,52,9,16,1610612760,Oklahoma City,58,14
21600801,1610612765,Detroit,30,0,10,1610612759,San Antonio,38,20
21600803,1610612744,Golden State,38,0,12,1610612763,Memphis,42,19
21600807,1610612756,Phoenix,58,6,9,1610612741,Chicago,48,11
21600800,1610612752,New York,52,7,11,1610612743,Denver,68,15
21600802,1610612749,Milwaukee,50,2,20,1610612747,Los Angeles,44,19
21600805,1610612764,Washington,40,5,11,1610612754,Indiana,48,11
21600799,1610612751,Brooklyn,50,7,22,1610612748,Miami,58,14
21600810,1610612748,Miami,44,7,20,1610612755,Philadelphia,50,10
21600815,1610612738,Boston,48,2,16,1610612762,Utah,40,11
21600809,1610612754,Indiana,36,3,14,1610612749,Milwaukee,28,7
21600813,1610612760,Oklahoma City,52,2,19,1610612744,Golden State,50,12
21600808,1610612746,LA,40,8,14,1610612766,Charlotte,26,8
21600812,1610612756,Phoenix,46,0,19,1610612745,Houston,44,21
21600816,1610612741,Chicago,38,1,18,1610612750,Minnesota,56,15
21600822,1610612763,Memphis,44,5,12,1610612751,Brooklyn,46,12
21600821,1610612755,Philadelphia,56,4,19,1610612766,Charlotte,32,15
